author,date,text
hanifaulfa24,2019-08-20 02:48:58,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
RizkySH25,2019-08-20 02:48:58,"RT @bottlesmoker: Happy Independence Day Indonesia! 

#Merdeka #GakHa8isHa8is https://t.co/44AtEjA3Po"
deaaldi,2019-08-20 02:48:58,"RT @DivHumas_Polri: ""Saya minta kepada saudara-saudara kita yang ada di Papua. Papua adalah bagian dari anak bangsa Indonesia, saudara-saud"
EManuella_22,2019-08-20 02:48:59,"RT @radnature: Ubud, Indonesia  https://t.co/u4VvrCa4ED"
witchstardust,2019-08-20 02:48:59,@FHMADTY @sonsssonn dukung runtuhnya patriarki di indonesia
Oyenk,2019-08-20 02:48:59,"RT @GNFI: From https://t.co/ri32fyRa09 - 
Happy 74th Anniversary, Indonesia..the land of warriors. #Ri74 https://t.co/r7oXEuW1V8"
bellindamonica,2019-08-20 02:49:00,RT @citaminyoongi1: #PapuaDibelahNKRIDipecah kita semua saudara jangan mau di pecah belahan kita harus menjaga persatuan Indonesia. #PapuaB
Jack_Jrr,2019-08-20 02:49:00,RT @Tanpaagama: Ini antara Indonesia dan Papua. PA 212 emang kalian siapa?
Spp72Promptly,2019-08-20 02:49:00,Mr. @ScottMorrisonMP that is the forms of perfect lies and lovely crime.
maria_dudss,2019-08-20 02:49:00,"RT @stef_crf: na fase que eu to, eu pularia com certeza https://t.co/m2nPLPoR6B"
branquinha98,2019-08-20 02:49:01,"RT @stef_crf: na fase que eu to, eu pularia com certeza https://t.co/m2nPLPoR6B"
hakunamatataya_,2019-08-20 02:49:01,"@permadiaktivis KE SUDAN 

KEMUDIAN HIJRAH KE ARAB 

LALU MINTA DIJEMPUT KE INDONESIA"
amandadheaB,2019-08-20 02:49:01,Kebaca tapak tilas. Auto inget widya dkk.
NinaCitra76,2019-08-20 02:49:02,"RT @ARIFHASANRIFAI: Kita semua bersaudara, hindari ucapan yang dapat menyinggung perasaan dan mari kita saling menghargai satu dgn yg lainn"
tiarareginap,2019-08-20 02:49:02,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
